round,time
1,27.602071046829224
2,33.814303159713745
3,28.573904752731323
4,25.036016941070557
5,33.01879024505615
6,27.7638840675354
7,24.95283579826355
8,32.97590398788452
9,27.85898208618164
10,25.094421863555908
1,21.094162940979004
2,45.987622022628784
3,52.0446457862854
4,39.106786012649536
5,49.97296094894409
6,59.85706305503845
7,43.88766598701477
8,52.16167497634888
9,56.39461135864258
10,43.18005919456482
1,24.27804708480835
2,31.357606172561646
3,39.98845887184143
4,63.06979727745056
